network,policy,target,blockRelativeSettle,goDistanceStar,goDistanceBlock,goEQ,goNormalizedEQ,eq50ms,eq90ms,state50ms,state90ms,normalizedEQat50,normalizedEQat100,normalizedEQat200,relativeStateAt50,relativeStateAt100,relativeStateAt200
1,1,1,1.26042527503769,0.0539058736067246,3.18521444922982,8.5264910424933e-07,1.71729400397743e-08,3,11,43,323,0.000938695143432879,0.000102553699725976,5.34110607732995e-06,0.485169168533873,0.400298778463163,0.225968381207508
1,1,2,1.56992469859915,0.0796348165702312,3.82484329557816,4.30340538309095e-06,2.38546982770469e-08,3,10,25,314,0.000505864714567408,7.12787541026599e-05,4.20497908533473e-06,0.428597488531105,0.355431626926396,0.209640800015167
1,1,3,1.47969254458794,0.0528598303391802,3.59663144038084,1.04267491834004e-06,9.54666488180008e-09,3,10,25,280,0.000844701362108609,7.0139475642861e-05,4.19726731597514e-06,0.408749912724886,0.313882689603337,0.165414000971967
1,1,4,1.37509497276337,0.06191276271414,3.28628183887278,7.44416153949777e-07,3.03046901077196e-08,4,13,64,320,0.00232978853072601,0.000232804407235471,1.00277393984836e-05,0.545532868603589,0.401292093369351,0.214696447838456
1,1,5,1.39633838985902,0.0805086347925901,3.46142712101639,1.49242459702239e-06,3.99896418352601e-08,4,12,91,333,0.00152291767728993,0.000132820443798735,6.76212021699361e-06,0.613739644030211,0.475613718197948,0.256938559400358
1,1,6,1.4476159725808,0.0592878144737661,3.55637985933023,1.08168341424904e-06,9.61193199449559e-09,3,10,27,296,0.000907687249178261,9.91252309267357e-05,4.82607610338191e-06,0.40648709249229,0.309338239516118,0.186927108224148
1,1,7,1.48179122772444,0.0604121026656306,3.71776553565774,8.19485575419122e-07,5.52208445838656e-09,3,10,47,305,0.000609815087062547,6.9721826883562e-05,4.37132496511927e-06,0.491849702965889,0.373553263625143,0.196569635652185
1,1,8,1.35179755512141,0.0534713222332997,3.44560471997812,6.49829311880629e-07,1.00747197414531e-08,3,10,36,286,0.000886654765138642,7.31758696851041e-05,4.15190270673237e-06,0.438188913626248,0.320816715061565,0.178867767150106
1,2,1,0.0428846357060815,3.20057760341679,0.108373549790076,42.933226324666,0.864704739280357,NaN,NaN,NaN,NaN,1.01903818475963,0.951099384977831,0.848821906022467,1.23040798323129,1.40976739844597,1.54134608548689
1,2,2,0.034977876698767,3.83396310398857,0.0852173975632179,188.800364309424,1.04656088011002,NaN,NaN,NaN,NaN,1.06567552739496,1.12576030440326,1.08979949577254,1.11274175572236,1.18707061674955,1.20043747642968
1,2,3,0.0299691332825763,3.60190328631566,0.0728448132007681,98.0201411072053,0.897466144392349,NaN,NaN,NaN,NaN,1.03733716516443,1.01089103824836,0.944241763059001,1.12558518723211,1.20476822802216,1.25043258371658
1,2,4,0.0537171993829372,3.26838518786523,0.12837648327119,20.1783826798164,0.821448635608284,NaN,NaN,NaN,NaN,0.810420067738143,0.760381750688015,0.785895288343315,1.18425674922459,1.26141682108001,1.31113767336466
1,2,5,0.0386810609808929,3.4355916062498,0.0958876977968572,29.4197883976997,0.788305689440134,NaN,NaN,NaN,NaN,0.961702692816165,0.868889564788087,0.794432840524469,1.09801828541252,1.1542431389346,1.16811500037078
1,2,6,0.0422905853482545,3.55820851381523,0.103895914952972,81.0171334550742,0.719925226642942,NaN,NaN,NaN,NaN,0.925835724189777,0.819977080652308,0.680386913892871,1.06671841062952,1.13675047575751,1.18309880964174
1,2,7,0.0360108242792124,3.73217952580544,0.0903499756989921,108.068211522746,0.728215125678298,NaN,NaN,NaN,NaN,0.847459916264483,0.739489256837941,0.700955839171326,1.06189264797632,1.1477572862278,1.22219109369208
1,2,8,0.04485630896391,3.45449897581597,0.114334509114395,62.770232480482,0.973167089857099,NaN,NaN,NaN,NaN,1.16397401533126,1.18538250311339,1.05058020578264,1.20185045737665,1.34278491796026,1.35562233476975
