"oldPath","newPath","bytes","sha256","category","reason"
"artifacts/manifests/paper_ready/alignment95/static_ready.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/alignment95/static_ready.txt","493","E12887F09EEED40F891D85A22A86DB0DDD980543493494C40B40279F90534A75","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/alignment95/static.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/alignment95/static.txt","267","4BD50A423733E785E2DE162BAD4794E26437E1DC78150008B2B6C64711ECDE17","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/empirical_audit.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/empirical_audit.txt","573","3E819E187F5B6065280D6C650E2D570D46F3880F941C96149EDE21B936366461","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/empirical_extraction.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/empirical_extraction.txt","273420","8841E58AEE6E4E7987FD517901EA7E500403B2412322D5AF0868F80FD823C2B4","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/production.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/production.txt","1702","17DA41DA40D70822F53758564DD81A54B1A7CA928A60D3CA6D3DF4E971921273","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/report_audit.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/report_audit.txt","253","E990DE85A3ADD14CBBD8036C124CCD15788566E2859FB87AFA72C4220E86EC61","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/smoke_static.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/smoke_static.txt","656","42E95B4C3965DF20530A79017441E8F19F27A0D5E6F8F66A1FF63653CCAFDED1","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/stabilization_eta/analysis.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/stabilization_eta/analysis.txt","1255","F1F21CD2889125023A449D51C0C667FFE15E2FCB8693E154664E02CDBBEE06C7","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/stabilization_eta/production.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/stabilization_eta/production.txt","412","F83CA6F540FE506FACF3573FD7D89879FFBC6664B6A3D4357204AB5EEF780388","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/static_final.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/static_final.txt","50","B7CE699687A114ED92FC5049ED50445C0962957883768029AE026C20B52F034B","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/static_preflight.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/static_preflight.txt","823","3E17DE0681E34218D3419CB14C4BE1239BF989CEBF305AEFE8DDAA12FE0504E5","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/paper_ready/timing.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/paper_ready/timing.txt","422","EE8A0EB545F1801012B5A917942A335085F15119D9746C80FC69F99967CE1C75","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
"artifacts/manifests/stage2_lambda_sweep/analysis_validation.log","artifacts/manifests/paper_ready/cleanup_release/history_logs/stage2_lambda_sweep/analysis_validation.txt","2258","33B92C3D1ACB29A9EDCA2936B0B7BEAA230EEC1B586C978938233828DEB7D20D","5","Historical execution/phase evidence preserved byte-for-byte; consolidated navigation"
